course_id,learner_id,viewed,explored,certified,grade,nevents,ndays_act,learner_rating
4,81,5,0,0,0.0,0.000940203083866,0.048780487804878,0.509944138177749
11,82,0,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.004896852842165
10,83,5,0,0,0.0,0.019180142910869,0.146341463414634,0.533104321265101
3,84,5,0,0,0.02,0.036291839037232,0.146341463414634,0.536526660490373
3,85,5,0,0,0.0,0.020778488153441,0.195121951219512,0.543180087874591
4,86,0,0,0,0.0,0.000188040616773,0.024390243902439,0.004915656903842
4,87,5,0,0,0.0,0.001128243700639,0.048780487804878,0.509981746301103
9,88,5,5,0,0.0,0.000188040616773,0.048780487804878,1.50979370568433
4,89,5,0,0,0.0,0.001128243700639,0.024390243902439,0.505103697520616
8,90,5,0,0,0.0,0.000752162467093,0.024390243902439,0.505028481273906
10,90,5,0,0,0.0,0.003196690485145,0.048780487804878,0.510395435658005
8,91,0,0,0,0.0,0.0,0.0,0.0
3,92,0,0,0,0.0,0.000188040616773,0.024390243902439,0.004915656903842
4,92,0,0,0,0.0,0.000470101541933,0.073170731707317,0.01472816664985
10,93,5,0,0,0.0,0.002914629559985,0.073170731707317,0.51521707225346
4,94,5,0,0,0.0,0.01081233546446,0.121951219512195,0.526552710995331
4,95,5,5,0,0.07,0.422715306506205,0.292682926829268,1.64307964666709
8,96,5,0,0,0.0,0.003760812335464,0.048780487804878,0.510508260028068
3,97,5,0,0,0.0,0.003196690485145,0.048780487804878,0.510395435658005
10,98,5,0,0,0.0,0.058856713050019,0.609756097560976,0.633722562122199
12,98,5,0,0,0.0,0.00056412185032,0.024390243902439,0.504990873150552
4,99,5,0,0,0.0,0.00028206092516,0.024390243902439,0.50493446096552
12,100,5,0,0,0.0,0.013726965024445,0.048780487804878,0.512501490565865
3,101,5,0,0,0.0,0.001504324934186,0.024390243902439,0.505178913767325
4,102,5,0,0,0.0,0.006863482512223,0.048780487804878,0.51112879406342
10,103,5,0,0,0.0,0.006863482512223,0.024390243902439,0.506250745282932
4,104,5,0,0,0.0,0.00028206092516,0.048780487804878,0.509812509746008
10,105,5,0,0,0.0,0.000658142158706,0.048780487804878,0.509887725992717
3,105,5,0,0,0.0,0.122978563369688,0.317073170731707,0.588010346820279
6,105,5,0,0,0.0,0.07907107935314,0.414634146341463,0.598741045138921
4,106,5,0,0,0.0,0.000752162467093,0.048780487804878,0.509906530054394
10,107,5,0,0,0.0,0.02801805189921,0.219512195121951,0.549506049404232
3,107,5,0,0,0.06,0.185031966904851,0.463414634146341,0.629689320210239
11,108,0,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.004896852842165
4,109,0,0,0,0.0,0.000470101541933,0.024390243902439,0.004972069088874
10,110,0,0,0,0.0,0.000188040616773,0.024390243902439,0.004915656903842
11,111,5,0,0,0.0,0.001410304625799,0.048780487804878,0.510038158486135
4,112,5,0,0,0.0,0.006299360661903,0.121951219512195,0.52565011603482
3,113,5,0,0,0.0,0.012316660398646,0.268292682926829,0.556121868665095
3,113,5,0,0,0.0,0.011564497931553,0.073170731707317,0.516947045927774
4,114,5,0,0,0.0,0.002350507709665,0.024390243902439,0.505348150322421
6,115,5,0,0,0.0,0.019274163219255,0.073170731707317,0.518488978985315
4,116,5,0,0,0.0,0.003008649868372,0.170731707317073,0.534748071437089
6,117,0,0,0,0.0,0.000470101541933,0.024390243902439,0.004972069088874
9,118,5,0,0,0.0,0.002162467092892,0.024390243902439,0.505310542199066
3,119,0,0,0,0.0,0.000188040616773,0.024390243902439,0.004915656903842
4,119,0,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.004896852842165
10,120,5,0,0,0.0,0.004512974802557,0.024390243902439,0.505780643740999
9,121,5,0,0,0.0,0.002162467092892,0.024390243902439,0.505310542199066
9,122,0,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.004896852842165
8,123,5,5,0,0.26,0.074182023317037,0.219512195121951,1.5587388436878
10,123,5,0,0,0.44,0.054061677322302,0.24390243902439,0.559592823269338
3,123,5,0,0,0.0,0.052463332079729,0.097560975609756,0.530004861537897
6,123,5,5,0,0.44,0.390466340729598,0.804878048780488,1.73906887790202
11,124,0,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.004896852842165
2,124,0,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.004896852842165
3,124,0,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.004896852842165
4,124,0,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.004896852842165
3,125,5,0,0,0.0,0.036291839037232,0.146341463414634,0.536526660490373
4,125,0,0,0,0.0,0.00056412185032,0.121951219512195,0.024503068272503
8,126,0,0,0,0.0,0.0,0.0,0.0
0,126,0,0,0,0.0,9.40203083866115e-05,0.048780487804878,0.009774901622653
2,126,5,0,0,0.0,0.0,0.024390243902439,0.504878048780488
3,126,0,0,0,0.0,0.0,0.024390243902439,0.004878048780488
4,126,5,0,0,0.0,0.0,0.024390243902439,0.504878048780488
6,126,0,0,0,0.0,0.0,0.024390243902439,0.004878048780488
11,127,0,0,0,0.0,0.000188040616773,0.024390243902439,0.004915656903842
3,128,5,0,0,0.03,0.081139526137646,0.195121951219512,0.555252295471432
4,129,5,0,0,0.0,0.0,0.048780487804878,0.509756097560976
0,130,0,0,0,0.0,0.000470101541933,0.024390243902439,0.004972069088874
8,131,0,0,0,0.0,0.0,0.0,0.0
11,132,0,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.004896852842165
4,133,5,0,0,0.0,0.012974802557352,0.048780487804878,0.512351058072446
4,134,5,0,0,0.0,0.011470477623167,0.121951219512195,0.526684339427072
7,135,5,0,0,0.0,0.002632568634825,0.024390243902439,0.505404562507453
3,136,0,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.004896852842165
4,136,5,0,0,0.01,0.032907107935314,0.317073170731707,0.569996055733404
3,137,5,0,0,0.01,0.011470477623167,0.073170731707317,0.516928241866097
10,138,5,5,5,0.72,0.180895073335841,0.780487804878049,3.19227657564278
0,139,5,0,0,0.0,0.006205340353516,0.048780487804878,0.510997165631679
8,140,5,0,0,0.05,0.097969161338849,0.560975609756098,0.631788954218989
9,140,5,0,0,0.0,0.006581421587063,0.195121951219512,0.540340674561315
0,141,0,0,0,0.0,0.000188040616773,0.073170731707317,0.014671754464818
